movie,Entführt - Die Abenteuer des David Balfour
movie,Bankraub des Jahrhunderts
movie,Who Wants to Be a Millionaire Episode #7.102 (TV Episode
movie,Brick
movie,Paranoid Park
movie,Clockers
movie,Karakter
movie,Die Totenliste
movie,Tonight or Never
movie,Kap der Angst
movie,Brand Upon the Brain! A Remembrance in 12 Chapters
movie,The Red Mill
movie,Ever Since Eve
movie,Thank You for Smoking
movie,Rushmore
movie,Die Royal Tenenbaums
movie,50/50 - Freunde fürs (Über)leben
movie,The Descendants - Familie und andere Angelegenheiten
movie,Der Tintenfisch und der Wal
movie,Station Agent
movie,The Killing of John Lennon
movie,Centurion
movie,Unbeugsam
movie,Duell im Atlantik
movie,Khartoum - Aufstand am Nil
movie,Last Samurai
movie,Der längste Tag
movie,Die Brücke von Arnheim
movie,Beverly Hills Vamp
movie,The Wild Bunch - Sie kannten kein Gesetz
movie,Pale Rider - Der namenlose Reiter
movie,Die Rechnung wird mit Blei bezahlt
movie,Die gefürchteten Vier
movie,Blaze of Glory - Flammender Ruhm
movie,Die Gewaltigen
movie,Big Jake
movie,Sukiyaki Western Django
movie,Django - Sein Haß ist tödlich
movie,Gott vergibt ... Django nie!
movie,Guns for Hire: The Making of 'The Magnificent Seven' (TV Movie
movie,Kagemusha - Der Schatten des Kriegers
movie,Barfuß durch die Hölle - 1. Teil
movie,Panzerkreuzer Potemkin
movie,Letters from Iwo Jima
movie,Killing Fields - Schreiendes Land
movie,Der Fall des Lieutnant Morant
movie,Die Blechtrommel
movie,Glory
movie,Nanjing! Nanjing!
movie,The Wind That Shakes the Barley
movie,Gettysburg
movie,Daddy-Long-Legs
movie,Bloody Sunday
movie,Remembering History (Video
movie,Sinola
movie,Winchester 73
movie,Django
movie,Der Gehetzte der Sierra Madre
movie,Die vier Söhne der Katie Elder
movie,Zwei rechnen ab
movie,Der Tod ritt dienstags
movie,Töte Amigo
movie,Nackte Gewalt
movie,Sabata
movie,Bis zum letzten Mann
movie,The 80th Annual Academy Awards
movie,Edición Especial Coleccionista Phineas y Ferb: A traves de la 2ª Dimensión (TV Episode
movie,Vera Cruz
movie,Von Angesicht zu Angesicht
movie,Keine Gnade für Ulzana
movie,Todesmelodie
movie,Die glorreichen Sieben
movie,Der mit dem Wolf tanzt
movie,Der Marshal
movie,Der schwarze Falke
movie,El Dorado
movie,Panik am roten Fluß
movie,Wie in einem Spiegel
movie,Nostalghia
movie,Passion
movie,Endstation Sehnsucht
movie,Beyond the Rocks
movie,Die Katze auf dem heißen Blechdach
movie,Rendezvous nach Ladenschluß
movie,Elizabeth Taylor: A Tribute (TV Movie
movie,Terminal
movie,American Gangster
movie,Boyz n the Hood - Jungs im Viertel
movie,25 Stunden
movie,In den Straßen der Bronx
movie,The Man Who Wasn't There
movie,Die Simpsons Black Widower (TV Episode
movie,Tootsie
movie,Krámpack
movie,Die erste Liebe
movie,American Graffiti
movie,(500) Days of Summer
movie,Besser geht's nicht
movie,Nachbarn Episode #1.4096 (TV Episode
movie,Solaris
